Pclass_surviving,Pclass_nonsurviving,Sex_surviving,Sex_nonsurviving,Age_surviving,Age_nonsurviving,SibSp_surviving,SibSp_nonsurviving,Parch_surviving,Parch_nonsurviving,Ticket_surviving,Ticket_nonsurviving,Fare_surviving,Fare_nonsurviving,Cabin_surviving,Cabin_nonsurviving,Embarked_surviving,Embarked_nonsurviving
3,3,female,male,16.0,26.0,0,1,0,2,35851,C.A. 2315,7.7333,20.575,,,Q,S
2,3,female,male,40.0,59.0,0,0,0,0,C.A. 33595,364500,15.75,7.25,,,S,S
3,3,male,male,9.0,,0,0,2,0,363291,374910,20.525,8.05,,,S,S
1,1,female,male,,71.0,0,0,1,0,113505,PC 17754,55.0,34.6542,E33,A5,S,C
3,2,female,male,1.0,34.0,1,1,1,0,347742,244367,11.1333,26.0,,,S,S
2,3,male,female,1.0,28.0,2,0,1,0,230136,349245,39.0,7.8958,F4,,S,S
3,3,female,male,4.0,,0,0,2,0,315153,349215,22.025,7.8958,,,S,S
3,1,female,male,,21.0,1,0,0,1,370365,35281,15.5,77.2875,,D26,Q,S
1,3,male,male,45.0,33.0,0,0,0,0,111428,7540,26.55,8.6542,,,S,S
2,3,female,male,32.0,37.0,0,2,0,0,234604,3101276,13.0,7.925,,,S,S
3,3,female,male,19.0,28.0,1,0,0,0,350046,349207,7.8542,7.8958,,,S,S
2,3,male,male,3.0,38.0,1,0,1,0,230080,349249,26.0,7.8958,F2,,S,S
1,1,female,male,44.0,47.0,0,0,0,0,PC 17610,110465,27.7208,52.0,B4,C110,C,S
1,3,female,female,58.0,14.5,0,1,0,0,PC 17569,2665,146.5208,14.4542,B80,,C,C
3,3,female,male,,22.0,0,0,0,0,370370,324669,7.75,8.05,,,Q,S
3,3,male,female,18.0,20.0,0,1,0,0,A/5 3540,4136,8.05,9.825,,,S,S
3,3,male,female,26.0,17.0,0,0,0,0,2699,2627,18.7875,14.4583,,,C,C
3,3,female,male,16.0,21.0,0,0,0,0,367231,STON/O 2. 3101294,7.75,7.925,,,Q,S
1,3,male,male,40.0,70.5,0,0,0,0,112277,370369,31.0,7.75,A31,,C,Q
2,2,female,male,35.0,29.0,0,1,0,0,F.C.C. 13528,11668,21.0,21.0,,,S,S
1,1,female,male,31.0,24.0,1,0,0,1,35273,PC 17558,113.275,247.5208,D36,B58 B60,C,C
3,3,female,female,27.0,2.0,0,4,0,2,STON/O2. 3101283,347082,7.925,31.275,,,S,S
1,2,female,male,32.0,21.0,0,2,0,0,11813,S.O.C. 14879,76.2917,73.5,D15,,C,S
3,3,male,male,16.0,,0,0,0,0,SOTON/OQ 392089,A4. 54510,8.05,8.05,,,S,S
1,2,male,male,38.0,32.5,1,1,0,0,19943,237736,90.0,30.0708,C93,,S,C
2,1,male,male,19.0,54.0,0,0,0,1,SW/PP 751,35281,10.5,77.2875,,D26,S,S
1,3,female,male,35.0,,1,0,0,0,36973,370372,83.475,7.75,C83,,S,Q
3,3,female,male,5.0,45.0,4,0,2,0,347077,347061,31.3875,6.975,,,S,S
2,3,female,male,8.0,33.0,0,0,2,0,C.A. 31921,349241,26.25,7.8958,,,S,C
3,3,female,male,,20.0,1,0,0,0,367230,SOTON/O.Q. 3101307,15.5,7.05,,,Q,S
2,3,female,female,24.0,47.0,0,1,2,0,250649,A/5. 3337,14.5,14.5,,,S,S
1,2,male,male,37.0,25.0,1,0,1,0,11751,C.A. 29178,52.5542,13.0,D35,,S,S
3,2,female,male,29.0,23.0,0,0,2,0,2650,SC/PARIS 2133,15.2458,15.0458,,,C,C
1,1,female,male,,37.0,0,1,0,0,PC 17585,113803,79.2,53.1,,C123,C,S
1,3,female,male,30.0,16.0,0,0,0,0,110152,7534,86.5,9.2167,B77,,S,S
1,1,female,male,35.0,24.0,0,0,0,0,PC 17755,PC 17593,512.3292,79.2,,B86,C,C
2,3,female,female,50.0,,0,0,1,2,230433,2678,26.0,15.2458,,,S,C
3,3,male,male,3.0,19.0,4,0,2,0,347077,365222,31.3875,6.75,,,S,Q
3,2,male,male,25.0,18.0,1,0,0,0,347083,231945,7.775,11.5,,,S,S
1,2,female,male,58.0,19.0,0,1,1,1,PC 17582,C.A. 33112,153.4625,36.75,C125,,S,S
1,3,female,female,35.0,9.0,0,2,0,2,PC 17760,W./C. 6608,135.6333,34.375,C99,,S,S
3,2,male,male,25.0,36.5,0,0,0,2,LINE,230080,0.0,26.0,,F2,S,S
2,2,female,male,41.0,42.0,0,0,1,0,250644,244310,19.5,13.0,,,S,S
3,2,female,male,,51.0,0,0,0,0,370375,S.O.P. 1166,7.75,12.525,,,Q,S
1,3,female,male,63.0,55.5,1,0,0,0,13502,A.5. 11206,77.9583,8.05,D7,,S,S
3,3,female,male,35.0,40.5,1,0,1,2,C.A. 2673,A/5. 851,20.25,14.5,,,S,S
3,3,male,male,19.0,,0,0,0,0,A/5. 10482,Fa 265302,8.05,7.3125,,,S,S
3,1,male,male,30.0,51.0,0,0,0,1,345774,PC 17597,9.5,61.3792,,,S,C
2,3,male,male,42.0,30.0,0,0,0,0,237798,SOTON/OQ 392090,13.0,8.05,,,S,S
3,3,female,male,22.0,,0,0,0,0,370373,315037,7.75,8.6625,,,Q,S
1,3,female,male,26.0,,0,8,0,2,19877,CA. 2343,78.85,69.55,,,S,S
1,3,female,male,19.0,44.0,1,0,0,1,11967,371362,91.0792,16.1,B49,,C,S
1,3,male,male,,26.0,0,0,0,0,19988,347068,30.5,7.775,C106,,S,S
1,3,female,male,50.0,17.0,0,0,1,0,PC 17558,315093,247.5208,8.6625,B58 B60,,C,S
3,3,female,male,,1.0,0,4,0,1,9234,3101295,7.75,39.6875,,,Q,S
3,3,male,female,,45.0,2,1,0,4,367226,347088,23.25,27.9,,,Q,S
2,1,female,male,,,0,0,0,0,226593,PC 17318,12.35,25.925,E101,,Q,S
1,3,male,male,0.92,28.0,1,0,2,0,113781,1601,151.55,56.4958,C22 C26,,S,S
1,1,female,male,,61.0,0,0,0,0,17421,111240,110.8833,33.5,,B19,C,S
1,3,female,male,17.0,4.0,1,4,0,1,PC 17758,382652,108.9,29.125,C65,,C,Q
1,3,female,male,30.0,21.0,0,0,0,0,PC 17485,STON/O 2. 3101280,56.9292,7.925,E36,,C,S
1,1,female,male,24.0,56.0,0,0,0,0,11767,17764,83.1583,30.6958,C54,A7,C,C
1,3,female,male,18.0,18.0,2,1,2,1,PC 17608,350404,262.375,7.8542,B57 B59 B63 B66,,C,S
3,3,female,male,26.0,,0,3,0,1,347470,4133,7.8542,25.4667,,,S,S
2,1,female,female,24.0,50.0,1,0,0,0,244367,PC 17595,26.0,28.7125,,C49,S,C
1,2,female,male,31.0,30.0,0,0,2,0,36928,250653,164.8667,13.0,C7,,S,S
1,3,female,male,40.0,36.0,1,0,1,0,16966,LINE,134.5,0.0,E34,,C,S
2,3,female,female,30.0,,0,8,0,2,234818,CA. 2343,12.35,69.55,,,Q,S
2,2,female,male,22.0,,1,0,1,0,248738,SC/PARIS 2131,29.0,15.05,,,S,C
1,3,female,male,36.0,9.0,0,4,0,2,PC 17760,347077,135.6333,31.3875,C32,,C,S
2,1,female,male,36.0,,0,0,0,0,28551,113767,13.0,50.0,D,A32,S,S
3,3,female,male,31.0,40.0,1,1,1,1,363291,364849,20.525,15.5,,,S,Q
1,3,female,male,16.0,36.0,0,0,1,0,111361,349247,57.9792,7.8958,B18,,C,S
3,2,female,male,,19.0,2,0,0,0,367226,28424,23.25,13.0,,,Q,S
1,3,female,male,,,1,0,0,0,PC 17611,368703,133.65,7.75,,,S,Q
1,3,female,male,41.0,42.0,0,0,0,1,16966,4579,134.5,8.4042,E40,,C,S
3,2,male,female,45.0,24.0,0,0,0,0,7598,248747,8.05,13.0,,,S,S
2,3,male,male,2.0,28.0,1,0,1,0,230080,345770,26.0,9.5,F2,,S,S
1,3,female,male,24.0,,3,8,2,2,19950,CA. 2343,263.0,69.55,C23 C25 C27,,S,S
2,3,female,male,24.0,34.0,0,0,0,0,248733,3101264,13.0,6.4958,F33,,S,S
2,3,female,male,40.0,45.5,0,0,0,0,31418,2628,13.0,7.225,,,S,C
3,3,female,female,,2.0,1,0,0,1,386525,347054,16.1,10.4625,,G6,S,S
3,3,male,male,3.0,32.0,1,1,1,0,C.A. 37671,3101278,15.9,15.85,,,S,S
1,3,female,male,22.0,24.0,0,0,1,0,113505,SOTON/O.Q. 3101311,55.0,7.05,E33,,S,S
3,3,female,male,,22.0,0,0,0,0,330931,A/5 21174,7.8792,7.25,,,Q,S
3,2,female,male,,30.0,0,0,0,0,330980,250646,7.8792,13.0,,,Q,S
1,3,female,male,60.0,,1,1,0,0,110813,367229,75.25,7.75,D37,,C,Q
3,2,female,male,,42.0,0,1,0,0,2626,243847,7.2292,27.0,,,C,S
3,2,female,male,,30.0,0,0,0,0,14313,W/C 14208,7.75,10.5,,,Q,S
1,2,female,male,24.0,27.0,0,0,0,0,PC 17477,220367,69.3,13.0,B35,,C,S
1,3,male,male,25.0,51.0,1,0,0,0,11765,21440,55.4417,8.05,E50,,C,S
1,3,female,male,,,1,0,0,0,PC 17604,349234,82.1708,7.8958,,,C,S
3,3,female,male,22.0,22.0,0,0,0,0,C 7077,PP 4348,7.25,9.35,,,S,S
1,3,female,male,42.0,20.5,0,0,0,0,PC 17757,A/5 21173,227.525,7.25,,,C,S
3,2,female,male,1.0,18.0,0,0,2,0,2653,236171,15.7417,13.0,,,C,S
1,3,female,female,35.0,,1,3,0,1,113789,4133,52.0,25.4667,,,S,S
2,3,female,male,36.0,29.0,0,0,0,0,27849,347067,13.0,7.775,,,S,S
2,2,female,male,17.0,59.0,0,0,0,0,SC 1748,237442,12.0,13.5,,,C,S
1,2,male,male,36.0,24.0,1,0,2,0,113760,C.A. 29566,120.0,10.5,B96 B98,,S,S
3,3,male,female,21.0,,0,0,0,0,350034,W./C. 6609,7.7958,7.55,,,S,S
1,2,female,male,23.0,44.0,1,1,0,0,35273,26707,113.275,26.0,D36,,C,S
3,2,female,male,24.0,19.0,0,0,2,0,PP 9549,28665,16.7,10.5,G6,,S,S
2,2,female,male,28.0,33.0,0,0,0,0,240929,SCO/W 1585,12.65,12.275,,,S,S
3,3,male,female,39.0,,0,1,0,0,STON/O 2. 3101289,2665,7.925,14.4542,,,S,C
2,2,male,male,3.0,29.0,1,0,1,0,29106,W./C. 14263,18.75,10.5,,,S,S
1,3,female,male,33.0,22.0,1,0,0,0,19928,STON/O 2. 3101275,90.0,7.125,C78,,Q,S
3,3,male,male,44.0,30.0,0,0,0,0,STON/O 2. 3101269,2694,7.925,7.225,,,S,C
2,1,female,male,34.0,44.0,1,2,1,0,28220,19928,32.5,90.0,,C78,S,Q
2,3,female,female,18.0,25.0,0,0,2,0,250652,347071,13.0,7.775,,,S,S
2,2,female,male,28.0,54.0,1,1,0,0,2003,244252,26.0,26.0,,,S,S
2,3,female,male,19.0,,0,0,0,0,250655,362316,26.0,7.25,,,S,S
3,3,male,female,32.0,29.0,0,1,0,1,SOTON/O.Q. 392078,347054,8.05,10.4625,E10,G6,S,S
1,1,male,male,28.0,62.0,0,0,0,0,110564,113514,26.55,26.55,C52,C87,S,S
3,3,female,male,,30.0,1,1,0,0,376564,A/5. 3336,16.1,16.1,,,S,S
2,3,female,female,42.0,41.0,1,0,0,2,SC/AH 3085,370129,26.0,20.2125,,,S,S
1,3,female,male,14.0,,1,0,2,0,113760,384461,120.0,7.75,B96 B98,,S,Q
2,1,female,male,24.0,52.0,2,1,3,1,29106,110413,18.75,79.65,,E67,S,S
2,1,female,male,45.0,40.0,1,0,1,0,F.C.C. 13529,112059,26.25,0.0,,B94,S,S
2,3,female,female,28.0,,0,0,0,0,230434,382649,13.0,7.75,,,S,Q
3,2,male,male,,36.0,0,0,0,0,65306,C.A. 17248,8.1125,10.5,,,S,S
1,3,male,male,4.0,16.0,0,4,2,1,33638,3101295,81.8583,39.6875,A34,,S,S
2,1,female,male,13.0,,0,0,1,0,250644,113798,19.5,31.0,,,S,S
1,1,male,male,34.0,37.0,0,0,0,1,113794,PC 17596,26.55,29.7,,C118,S,C
3,3,female,female,5.0,45.0,2,0,1,0,2666,347073,19.2583,7.75,,,C,S
1,2,male,male,52.0,,0,0,0,0,113786,239853,30.5,0.0,C104,,S,S
1,3,male,male,49.0,7.0,1,4,0,1,17453,382652,89.1042,29.125,C92,,C,Q
3,3,male,male,29.0,65.0,0,0,0,0,349240,336439,7.8958,7.75,,,C,Q
1,3,female,male,,28.0,1,0,0,0,17464,347464,51.8625,7.8542,D21,,S,S
2,3,female,male,50.0,16.0,0,0,0,0,F.C.C. 13531,345778,10.5,9.5,,,S,S
1,1,male,male,48.0,,0,0,0,0,19952,113056,26.55,26.0,E12,A19,S,S
3,3,female,male,0.75,33.0,2,0,1,0,2666,349239,19.2583,8.6625,,,C,C
2,3,female,male,33.0,22.0,1,0,2,0,C.A. 34651,349206,27.75,7.8958,,,S,S
2,2,female,male,23.0,36.0,0,0,0,0,SC/AH Basle 541,SC/Paris 2163,13.7917,12.875,D,D,C,C
3,3,female,female,2.0,24.0,0,0,1,0,3101298,349236,12.2875,8.85,,,S,S
3,3,female,male,63.0,24.0,0,0,0,0,4134,349233,9.5875,7.8958,,,S,S
1,1,male,male,25.0,,1,0,0,0,11967,PC 17612,91.0792,27.7208,B49,,C,C
1,3,female,male,35.0,23.5,1,0,0,0,19943,2693,90.0,7.2292,C93,,S,C
3,1,male,female,9.0,2.0,1,1,1,2,C.A. 37671,113781,15.9,151.55,,C22 C26,S,S
1,3,female,male,54.0,19.0,1,0,0,0,36947,LINE,78.2667,0.0,D20,,C,S
1,3,female,male,16.0,,0,0,0,0,110152,A/5 2466,86.5,8.05,B79,,S,S
2,2,female,male,33.0,30.0,0,1,2,0,26360,P/PP 3381,26.0,24.0,,,S,C
1,2,male,female,,26.0,0,1,0,1,111427,250651,26.55,26.0,,,S,S
3,3,male,male,26.0,28.0,0,0,0,0,1601,349243,56.4958,7.8958,,,S,S
3,2,male,male,29.0,43.0,0,1,0,1,382651,F.C.C. 13529,7.75,26.25,,,Q,S
1,2,male,male,36.0,54.0,0,0,0,0,PC 17473,29011,26.2875,14.0,E25,,S,S
1,3,female,male,54.0,22.0,1,0,0,0,PC 17603,A/5 21172,59.4,7.25,,,C,S
2,3,female,male,34.0,27.0,0,0,0,0,C.A. 34260,349219,10.5,7.8958,F33,,S,S
2,3,female,male,36.0,,1,8,0,2,226875,CA. 2343,26.0,69.55,,,S,S
1,3,female,male,30.0,61.0,0,0,0,0,12749,345364,93.5,6.2375,B73,,S,S
1,1,female,male,44.0,45.5,0,0,1,0,111361,113043,57.9792,28.5,B18,C124,C,S
2,1,female,male,50.0,38.0,0,0,0,1,W./C. 14258,PC 17582,10.5,153.4625,,C91,S,S
2,3,female,male,2.0,16.0,1,2,1,0,26360,345764,26.0,18.0,,,S,S
3,3,female,male,,,0,0,2,0,2668,349225,22.3583,7.8958,,,C,S
2,1,female,male,7.0,29.0,0,1,2,0,F.C.C. 13529,113776,26.25,66.6,,C2,S,S
1,1,female,male,30.0,45.0,0,0,0,0,PC 17761,113784,106.425,35.5,,T,C,S
1,2,female,male,22.0,28.0,0,0,2,0,13568,248740,49.5,13.0,B39,,C,S
1,2,female,male,36.0,25.0,0,0,2,0,WE/P 5735,244361,71.0,13.0,B22,,S,S
2,2,male,male,32.0,36.0,1,0,0,0,2908,229236,26.0,13.0,,,S,S
2,3,female,male,19.0,42.0,1,0,0,0,2908,315088,26.0,8.6625,,,S,S
2,3,male,male,,23.0,0,0,0,0,SC/PARIS 2146,7267,13.8625,9.225,,,C,S
2,1,male,male,8.0,,1,0,1,0,C.A. 33112,113510,36.75,35.0,,C128,S,S
1,3,male,male,17.0,15.0,0,1,2,1,17421,2695,110.8833,7.2292,C70,,C,C
3,3,male,male,22.0,25.0,0,1,0,0,2620,349237,7.225,17.8,,,C,S
3,3,female,male,22.0,,0,0,0,0,347085,2647,7.775,7.225,,,S,C
1,3,female,male,48.0,28.0,1,0,0,0,11755,345783,39.6,9.5,A16,,C,S
1,2,female,female,39.0,38.0,1,0,1,0,110413,237671,79.65,13.0,E67,,S,S
3,3,female,male,36.0,40.0,1,1,0,4,345572,347088,17.4,27.9,,,S,S
3,2,male,male,32.0,29.0,0,1,0,0,350417,SC/PARIS 2167,7.8542,27.7208,,,S,C
2,3,male,female,62.0,45.0,0,0,0,1,S.W./PP 752,2691,10.5,14.4542,,,S,C
1,3,female,male,53.0,35.0,2,0,0,0,11769,SOTON/O.Q. 3101310,51.4792,7.05,C101,,S,S
1,3,male,male,36.0,,0,1,0,0,PC 17474,370365,26.3875,15.5,E25,,S,Q
3,3,female,male,,30.0,0,0,0,0,14312,C 7076,7.75,7.25,,,Q,S
2,3,female,male,34.0,18.0,0,1,0,0,243880,3101267,13.0,6.4958,,,S,S
1,3,female,male,39.0,19.0,1,0,0,0,13507,323951,55.9,8.05,E44,,S,S
3,1,male,male,32.0,22.0,0,0,0,0,STON/O 2. 3101286,PC 17760,7.925,135.6333,,,S,C
2,3,female,female,25.0,3.0,1,3,1,1,237789,349909,30.0,21.075,,,S,S
1,1,female,male,39.0,27.0,1,0,1,2,17421,113503,110.8833,211.5,C68,C82,C,C
1,3,female,male,18.0,20.0,0,0,2,0,110413,2648,79.65,4.0125,E68,,S,C
1,3,male,male,60.0,19.0,1,0,1,0,13567,347069,79.2,7.775,B41,,C,S
1,3,female,male,52.0,32.0,1,0,0,0,36947,STON/O 2. 3101293,78.2667,7.925,D20,,C,S
2,3,female,male,,,0,0,0,0,248727,349227,33.0,7.8958,,,S,S
1,2,male,male,49.0,18.0,1,0,0,0,PC 17485,S.O.C. 14879,56.9292,73.5,A20,,C,S
2,3,female,male,24.0,1.0,2,5,1,2,243847,CA 2144,27.0,46.9,,,S,S
1,3,male,male,35.0,,0,0,0,0,111426,367655,26.55,7.7292,,,C,Q
1,3,male,male,27.0,28.0,0,2,0,0,113804,3101277,30.5,7.925,,,S,S
2,3,female,male,22.0,22.0,1,0,2,0,SC/Paris 2123,350052,41.5792,7.7958,,,C,S
1,3,female,female,40.0,31.0,0,0,0,0,PC 17582,350407,153.4625,7.8542,C125,,S,S
3,2,female,male,,46.0,1,0,0,0,367230,28403,15.5,26.0,,,Q,S
2,2,female,male,24.0,23.0,1,0,2,0,220845,244278,65.0,10.5,,,S,S
2,3,female,male,4.0,26.0,2,0,1,0,230136,341826,39.0,8.05,F4,,S,S
1,3,male,female,42.0,21.0,1,1,0,0,11753,4137,52.5542,9.825,D19,,S,S
3,3,male,male,20.0,28.0,1,1,1,0,2653,STON/O2. 3101279,15.7417,15.85,,,C,S
1,3,female,female,21.0,20.0,0,0,0,0,13502,315096,77.9583,8.6625,D9,,S,S
1,2,male,male,80.0,34.0,0,1,0,0,27042,28664,30.0,21.0,A23,,S,S
1,3,male,male,32.0,51.0,0,0,0,0,13214,347064,30.5,7.75,B50,,C,S
2,3,female,male,28.0,21.0,0,0,0,0,237668,312992,13.0,7.775,,,S,S
1,3,female,female,24.0,,0,3,0,1,PC 17477,4133,69.3,25.4667,B35,,C,S
3,3,male,male,,,0,0,0,0,1601,349222,56.4958,7.8958,,,S,S
3,3,female,male,0.75,,2,0,1,0,2666,394140,19.2583,6.8583,,,C,Q
1,2,male,male,48.0,,1,0,0,0,PC 17572,239853,76.7292,0.0,D33,,C,S
1,3,male,female,56.0,,0,0,0,0,13213,343095,35.5,8.05,A26,,C,S
3,2,female,male,23.0,30.0,0,0,0,0,CA. 2314,28228,7.55,13.0,,,S,S
2,3,female,female,18.0,10.0,0,0,1,2,231919,345773,23.0,24.15,,,S,S
3,3,female,male,,,0,0,0,0,330919,349254,7.8292,7.8958,,,Q,C
1,3,male,male,50.0,21.0,2,0,0,0,PC 17611,A/5. 13032,133.65,7.7333,,,S,Q
3,3,male,male,20.0,29.0,1,0,0,0,STON/O 2. 3101285,315082,7.925,7.875,,,S,S
1,3,female,female,,28.0,1,1,0,1,19996,347080,52.0,14.4,C126,,S,S
2,3,female,male,40.0,18.0,1,1,1,1,29750,370129,39.0,20.2125,,,S,S
2,3,male,male,31.0,,0,0,0,0,244270,A/4. 34244,13.0,7.25,,,S,S
3,3,female,male,18.0,,0,0,0,0,4138,364851,9.8417,7.75,,,S,Q
1,3,male,male,36.0,17.0,0,0,1,0,PC 17755,STON/O 2. 3101274,512.3292,7.125,B51 B53 B55,,C,S
1,1,male,male,27.0,50.0,0,1,0,0,PC 17572,13507,76.7292,55.9,D49,E44,C,S
1,3,female,female,15.0,21.0,0,2,1,2,24160,W./C. 6608,211.3375,34.375,B5,,S,S
1,1,male,male,31.0,64.0,1,1,0,4,17474,19950,57.0,263.0,B20,C23 C25 C27,S,S
3,2,female,male,4.0,31.0,0,0,1,0,349256,C.A. 18723,13.4167,10.5,,,C,S
3,3,male,male,,20.0,0,0,0,0,1601,345769,56.4958,9.5,,,S,S
3,3,female,male,,25.0,0,1,0,0,35852,347076,7.7333,7.775,,,Q,S
1,2,female,male,18.0,36.0,1,1,0,2,PC 17757,C.A. 34651,227.525,27.75,C62 C64,,C,S
1,3,male,male,35.0,,0,1,0,0,PC 17475,65303,26.2875,19.9667,E24,,S,S
2,1,female,male,45.0,30.0,0,0,0,0,223596,113051,13.5,27.75,,C111,S,C
1,3,male,male,42.0,,0,0,0,0,PC 17476,A/5 2817,26.2875,8.05,E24,,S,S
1,1,female,male,22.0,65.0,0,0,0,0,113781,13509,151.55,26.55,,E38,S,S
3,3,male,male,,,1,0,1,0,2661,371060,15.2458,7.75,,,C,Q
1,3,female,male,24.0,34.0,0,0,0,0,PC 17482,364506,49.5042,8.05,C90,,C,S
1,1,male,male,48.0,47.0,1,0,0,0,19996,111320,52.0,38.5,C126,E63,S,S
1,2,female,male,38.0,48.0,0,0,0,0,PC 17757,234360,227.525,13.0,C45,,C,S
2,3,female,male,27.0,,0,0,0,0,34218,A/S 2816,10.5,8.05,E101,,S,S
2,3,female,male,6.0,38.0,0,0,1,0,248727,SOTON/O.Q. 3101306,33.0,7.05,,,S,S
1,2,male,male,27.0,,1,0,0,0,113806,239853,53.1,0.0,E8,,S,S
2,1,female,male,30.0,56.0,3,0,0,0,31027,113792,21.0,26.55,,,S,S
3,3,female,male,,,0,0,0,0,36866,36209,7.7375,7.725,,,Q,Q
